央视,#genre#
大湾区卫视,http://172.16.149.176:9090/live/1456.m3u8
广东影视,http://172.16.149.176:9090/live/1458.m3u8
嘉佳卡通,http://172.16.149.176:9090/live/1459.m3u8
广东少儿,http://172.16.149.176:9090/live/1457.m3u8
岭南戏曲,http://172.16.149.176:9090/live/1460.m3u8
广州综合,http://172.16.149.176:9090/live/gzhounewsHD.m3u8
广州新闻,http://172.16.149.176:9090/live/gzhouzongheHD.m3u8
广州影视,http://172.16.149.176:9090/live/gzcompetitiongaoqing.m3u8
广州竞赛,http://172.16.149.176:9090/live/gzfilmsgaoqing.m3u8
广州法治.576,http://172.16.149.176:9090/live/gzeconomic_1500.m3u8
增城台,http://172.16.149.176:9090/live/2079.m3u8
东莞新闻综合,http://172.16.149.176:9090/live/2121.m3u8
东莞生活资讯,http://172.16.149.176:9090/live/2122.m3u8
佛山综合,http://172.16.149.176:9090/live/foshanzongheHD_4500.m3u8
佛山公共,http://172.16.149.176:9090/live/foshangonggongHD_4500.m3u8
佛山影视,http://172.16.149.176:9090/live/foshanyingshiHD_4500.m3u8
南海综合,http://172.16.149.176:9090/live/nanhaiHD_4500.m3u8
顺德综合,http://172.16.149.176:9090/live/shundeHD_4500.m3u8
珠海1,http://172.16.149.176:9090/live/zhuhaiHD1_4500.m3u8
珠海2,http://172.16.149.176:9090/live/zhuhaiHD2_4500.m3u8
斗门融媒,http://172.16.149.176:9090/live/2207.m3u8
惠州1,http://172.16.149.176:9090/live/2314.m3u8
惠州2,http://172.16.149.176:9090/live/2316.m3u8
博罗综合,http://172.16.149.176:9090/live/2305.m3u8
惠东综合,http://172.16.149.176:9090/live/huidongHD.m3u8
惠阳台.576,http://172.16.149.176:9090/live/huiyangtai.m3u8
潮州综合,http://172.16.149.176:9090/live/3131.m3u8
潮州民生,http://172.16.149.176:9090/live/3132.m3u8
潮安综合,http://172.16.149.176:9090/live/chaoanzongheHD.m3u8
饶平台,http://172.16.149.176:9090/live/raopingtaiHD.m3u8
汕头综合,http://172.16.149.176:9090/live/shantouyitaogaoqing_4500.m3u8
汕头经济生活,http://172.16.149.176:9090/live/shantouertaogaoqing_4500.m3u8
汕头文旅体育,http://172.16.149.176:9090/live/2508_4500.m3u8
揭阳综合,http://172.16.149.176:9090/live/jieyangzongheHD.m3u8
揭阳生活,http://172.16.149.176:9090/live/jieyanggonggongHD.m3u8
揭东综合.576,http://172.16.149.176:9090/live/jiedongzonghe.m3u8
中山综合,http://172.16.149.176:9090/live/3665.m3u8
中山香山文化,http://172.16.149.176:9090/live/3663.m3u8
中山教育,http://172.16.149.176:9090/live/3664.m3u8
江门综合,http://172.16.149.176:9090/live/jiangmenzongheHD.m3u8
江门侨乡生活.576,http://172.16.149.176:9090/live/jiangmenyitao_1500.m3u8
鹤山综合,http://172.16.149.176:9090/live/3709.m3u8
新会综合.576,http://172.16.149.176:9090/live/xinhui_1500.m3u8
梅州1,http://172.16.149.176:9090/live/meizhou1HD_4500.m3u8
梅州2,http://172.16.149.176:9090/live/meizhou2HD_4500.m3u8
梅州导视,http://172.16.149.176:9090/live/meizhoudaoshiHD.m3u8
梅县综合,http://172.16.149.176:9090/live/meixianHD.m3u8
平远综合,http://172.16.149.176:9090/live/3434_4500.m3u8
五华台.576,http://172.16.149.176:9090/live/wuhua1HD.m3u8
兴宁台.576,http://172.16.149.176:9090/live/xingning1.m3u8
茂名综合,http://172.16.149.176:9090/live/3012_4500.m3u8
茂名文化生活,http://172.16.149.176:9090/live/3013_4500.m3u8
信宜台,http://172.16.149.176:9090/live/xinyigaoqing.m3u8
化州综合.360,http://172.16.149.176:9090/live/huazhoutai.m3u8
云浮综合,http://172.16.149.176:9090/live/yunfuzongheHD_4500.m3u8
云浮文旅.576,http://172.16.149.176:9090/live/yunfuertao_1500.m3u8
河源综合,http://172.16.149.176:9090/live/heyuanzongheHD_4500.m3u8
河源公共.576,http://172.16.149.176:9090/live/heyuanertao_1500.m3u8
清远新闻综合,http://172.16.149.176:9090/live/qingyuanzongheHD.m3u8
清远文旅生活.576,http://172.16.149.176:9090/live/qingyuangongong_1500.m3u8
佛冈综合.576,http://172.16.149.176:9090/live/2405.m3u8
英德综合.360,http://172.16.149.176:9090/live/yingdezonghe.m3u8
汕尾新闻综合,http://172.16.149.176:9090/live/shanweizongheHD.m3u8
汕尾文化生活,http://172.16.149.176:9090/live/shanweigonggongHD.m3u8
廉江综合-1,http://172.16.149.176:9090/live/3209.m3u8
廉江综合-2,http://172.16.149.176:9090/live/3210.m3u8
湛江综合.576,http://172.16.149.176:9090/live/zhanjiangzonghe_1500.m3u8
湛江公共.576,http://172.16.149.176:9090/live/zhanjianggonggong_1500.m3u8
韶关新闻综合.576,http://172.16.149.176:9090/live/shaoguanzonghe_1500.m3u8
韶关绿色生活.576,http://172.16.149.176:9090/live/shaoguangonggong_1500.m3u8
始兴综合.576,http://172.16.149.176:9090/live/2641.m3u8
肇庆综合.576,http://172.16.149.176:9090/live/zhaoqingyitao_1500.m3u8
肇庆生活服务.576,http://172.16.149.176:9090/live/zhaoqingertao_1500.m3u8
怀集综合.576,http://172.16.149.176:9090/live/2805_2000.m3u8
谷豆TV,#genre#
CCTV4K,http://www.namewee.xyz/gudou.php?id=4005&/PLTV/hls.smil
CCTV16-4K,http://www.namewee.xyz/gudou.php?id=4010&/PLTV/hls.smil
广东综艺4K,http://www.namewee.xyz/gudou.php?id=GDZYHD4K_38000&/PLTV/hls.smil
G导视高清,http://www.namewee.xyz/gudou.php?id=GHDdaoshi_7500&/PLTV/hls.smil
翡翠台,http://www.namewee.xyz/gudou.php?id=1350_4500&/PLTV/hls.smil
明珠台,http://www.namewee.xyz/gudou.php?id=1351_4500&/PLTV/hls.smil
澳视澳门,http://www.namewee.xyz/gudou.php?id=1352_4500&/PLTV/hls.smil
凤凰中文.576,http://www.namewee.xyz/gudou.php?id=fhzw_1500&/PLTV/hls.smil
星空卫视.576,http://www.namewee.xyz/gudou.php?id=xingkong_1500&/PLTV/hls.smil
澳亚卫视.576,http://www.namewee.xyz/gudou.php?id=aoya_1500&/PLTV/hls.smil
CCTV1,http://www.namewee.xyz/gudou.php?id=1402_4500&/PLTV/hls.smil
CCTV2,http://www.namewee.xyz/gudou.php?id=CCTV2HD_7000&/PLTV/hls.smil
CCTV3,http://www.namewee.xyz/gudou.php?id=1603&/PLTV/hls.smil
CCTV4,http://www.namewee.xyz/gudou.php?id=1604&/PLTV/hls.smil
CCTV5,http://www.namewee.xyz/gudou.php?id=1605&/PLTV/hls.smil
CCTV5+,http://www.namewee.xyz/gudou.php?id=1403&/PLTV/hls.smil
CCTV6,http://www.namewee.xyz/gudou.php?id=1606&/PLTV/hls.smil
CCTV7,http://www.namewee.xyz/gudou.php?id=1607&/PLTV/hls.smil
CCTV8,http://www.namewee.xyz/gudou.php?id=1608&/PLTV/hls.smil
CCTV9,http://www.namewee.xyz/gudou.php?id=CCTV9HD_7000&/PLTV/hls.smil
CCTV10,http://www.namewee.xyz/gudou.php?id=1610&/PLTV/hls.smil
CCTV11,http://www.namewee.xyz/gudou.php?id=CCTV-11HD_7500&/PLTV/hls.smil
CCTV12,http://www.namewee.xyz/gudou.php?id=CCTV12HD_7000&/PLTV/hls.smil
CCTV13,http://www.namewee.xyz/gudou.php?id=1613&/PLTV/hls.smil
CCTV14,http://www.namewee.xyz/gudou.php?id=CCTV14HD_7000&/PLTV/hls.smil
CCTV15,http://www.namewee.xyz/gudou.php?id=CCTV-15HD_7500&/PLTV/hls.smil
CCTV16,http://www.namewee.xyz/gudou.php?id=1617_4500&/PLTV/hls.smil
CCTV17,http://www.namewee.xyz/gudou.php?id=CCTV17HD&/PLTV/hls.smil
CGTN.576,http://www.namewee.xyz/gudou.php?id=CCTV15news_1500&/PLTV/hls.smil
广东卫视,http://www.namewee.xyz/gudou.php?id=1401&/PLTV/hls.smil
深圳卫视,http://www.namewee.xyz/gudou.php?id=shenzhenHD_7000&/PLTV/hls.smil
东方卫视,http://www.namewee.xyz/gudou.php?id=dongfangHD_7000&/PLTV/hls.smil
北京卫视,http://www.namewee.xyz/gudou.php?id=beijingHD_7000&/PLTV/hls.smil
湖南卫视,http://www.namewee.xyz/gudou.php?id=hunanHD_7000&/PLTV/hls.smil
江西卫视,http://www.namewee.xyz/gudou.php?id=jiangxiHD_7000&/PLTV/hls.smil
四川卫视,http://www.namewee.xyz/gudou.php?id=sichuanHD_7000&/PLTV/hls.smil
江苏卫视,http://www.namewee.xyz/gudou.php?id=jiangsuHD_7000&/PLTV/hls.smil
浙江卫视,http://www.namewee.xyz/gudou.php?id=zhejiangHD_7000&/PLTV/hls.smil
天津卫视,http://www.namewee.xyz/gudou.php?id=1415_4500&/PLTV/hls.smil
河北卫视,http://www.namewee.xyz/gudou.php?id=1426_4500&/PLTV/hls.smil
重庆卫视,http://www.namewee.xyz/gudou.php?id=chongqingHD_7000&/PLTV/hls.smil
贵州卫视,http://www.namewee.xyz/gudou.php?id=guizhouHD_7000&/PLTV/hls.smil
辽宁卫视,http://www.namewee.xyz/gudou.php?id=liaoningHD_7000&/PLTV/hls.smil
湖北卫视,http://www.namewee.xyz/gudou.php?id=hubeiHD_7000&/PLTV/hls.smil
安徽卫视,http://www.namewee.xyz/gudou.php?id=anhuiHD_7000&/PLTV/hls.smil
黑龙江卫视,http://www.namewee.xyz/gudou.php?id=heilongjiangHD_7000&/PLTV/hls.smil
吉林卫视,http://www.namewee.xyz/gudou.php?id=jilinHD&/PLTV/hls.smil
海南卫视,http://www.namewee.xyz/gudou.php?id=1451_4500&/PLTV/hls.smil
三沙卫视,http://www.namewee.xyz/gudou.php?id=1453&/PLTV/hls.smil
陕西卫视,http://www.namewee.xyz/gudou.php?id=1452_4500&/PLTV/hls.smil
东南卫视,http://www.namewee.xyz/gudou.php?id=dongnanweishiHD&/PLTV/hls.smil
山东卫视,http://www.namewee.xyz/gudou.php?id=1416_4500&/PLTV/hls.smil
河南卫视,http://www.namewee.xyz/gudou.php?id=henangaoqing_3000&/PLTV/hls.smil
广西卫视,http://www.namewee.xyz/gudou.php?id=guangxi&/PLTV/hls.smil
梨园频道,http://www.namewee.xyz/gudou.php?id=1937&/PLTV/hls.smil
武术世界,http://www.namewee.xyz/gudou.php?id=1938&/PLTV/hls.smil
文物宝库,http://www.namewee.xyz/gudou.php?id=1939&/PLTV/hls.smil
金色学堂,http://www.namewee.xyz/gudou.php?id=1940&/PLTV/hls.smil
东方财*,http://www.namewee.xyz/gudou.php?id=1941&/PLTV/hls.smil
CHC高清电影,http://www.namewee.xyz/gudou.php?id=CHCHD_7000&/PLTV/hls.smil
都市剧场,http://www.namewee.xyz/gudou.php?id=dushijuchangHD_7000&/PLTV/hls.smil
乐游,http://www.namewee.xyz/gudou.php?id=quanjishiHD_7000&/PLTV/hls.smil
求索纪录,http://www.namewee.xyz/gudou.php?id=QSJLHD_7000&/PLTV/hls.smil
求索science,http://www.namewee.xyz/gudou.php?id=qiusuokexueHD_7000&/PLTV/hls.smil
求索动物,http://www.namewee.xyz/gudou.php?id=QSDWHD_7000&/PLTV/hls.smil
求索生活,http://www.namewee.xyz/gudou.php?id=1612&/PLTV/hls.smil
魅力足球,http://www.namewee.xyz/gudou.php?id=meiliyinyueHD_7000&/PLTV/hls.smil
劲爆体育,http://www.namewee.xyz/gudou.php?id=jinbaotiyuHD_7000&/PLTV/hls.smil
新视觉,http://www.namewee.xyz/gudou.php?id=xinshijuegaoqing&/PLTV/hls.smil
游戏风云,http://www.namewee.xyz/gudou.php?id=youxifengyunHD&/PLTV/hls.smil
广东珠江,http://www.namewee.xyz/gudou.php?id=gdzhujiangHD_7500&/PLTV/hls.smil
广东体育,http://www.namewee.xyz/gudou.php?id=1413&/PLTV/hls.smil
广东新闻,http://www.namewee.xyz/gudou.php?id=1454&/PLTV/hls.smil
广东民生,http://www.namewee.xyz/gudou.php?id=1455&/PLTV/hls.smil
